"DateTime","France","Germany","Italy","Spain"
"2020-05-07 23:51:40",,,,74
"2020-05-08 23:51:40",61,,67
"2020-05-11 23:51:40",,49
"2020-05-14 23:51:40",,,,73
"2020-05-15 23:51:40",57,,68
"2020-05-19 23:51:40",,49
"2020-05-21 23:51:40",,,,71
"2020-05-22 23:51:40",58,,66
"2020-05-26 23:51:40",,48
"2020-05-28 23:51:40",,,,70
"2020-05-29 23:51:40",59,,65
"2020-06-02 23:51:40",,47
"2020-06-03 23:51:40",,,65
"2020-06-04 23:51:40",,,,68
"2020-06-05 23:51:40",54
"2020-06-09 23:51:40",,46
"2020-06-10 23:51:40",,,65
"2020-06-11 23:51:40",,,,70
"2020-06-12 23:51:40",57
"2020-06-16 23:51:40",,46
"2020-06-17 23:51:40",,,65
"2020-06-18 23:51:40",,,,71
"2020-06-19 23:51:40",57
"2020-06-23 23:51:40",,47
"2020-06-24 23:51:40",,,60
"2020-06-25 23:51:40",,,,69
"2020-06-26 23:51:40",56
"2020-06-30 23:51:40",,47
